freq,unit,s_adj,na_item,geo,time,value
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2022-10-01,99.901
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2023-01-01,99.096
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2023-04-01,99.158
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2023-07-01,98.77
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2023-10-01,98.655
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2024-01-01,98.794
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2024-04-01,98.841
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2024-07-01,99.137
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2024-10-01,98.775
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2025-01-01,
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2019-01-01,98.677
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2019-04-01,99.259
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2019-07-01,98.646
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2019-10-01,99.323
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2020-01-01,98.986
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2020-04-01,96.216
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2020-07-01,102.878
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2020-10-01,101.92
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2021-01-01,100.288
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2021-04-01,100.666
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2021-07-01,102.686
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2021-10-01,101.782
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2022-01-01,101.078
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2022-04-01,101.183
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2022-07-01,101.713
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2022-10-01,101.436
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2023-01-01,100.836
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2023-04-01,100.129
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2023-07-01,100.585
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2023-10-01,100.802
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2024-01-01,101.106
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2024-04-01,100.615
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2024-07-01,100.534
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2024-10-01,99.938
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Germany,2025-01-01,100.723
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2019-01-01,99.295
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2019-04-01,99.382
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2019-07-01,99.122
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2019-10-01,98.439
