freq,indic_bt,nace_r2,s_adj,unit,geo,time,value
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-01-01,87.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-02-01,84.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-03-01,96.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-04-01,95.5
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-05-01,93.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-06-01,95.1
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-07-01,95.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-08-01,92.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-09-01,92.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-10-01,96.5
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-11-01,101.8
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2019-12-01,110.1
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2020-01-01,89.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2020-02-01,87.1
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2020-03-01,97.1
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2020-04-01,90.8
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2020-05-01,100.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2020-06-01,99.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2020-07-01,100.8
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2020-08-01,98.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Germany,2020-09-01,97.5
