freq,stk_flow,indic_et,partner,sitc06,geo,time,value
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2020-09-01,15859.9
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2020-10-01,15125.0
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2020-11-01,15140.3
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2020-12-01,14550.3
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-01-01,13688.4
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-02-01,14709.5
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-03-01,19056.8
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-04-01,17187.1
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-05-01,17002.0
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-06-01,18447.4
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-07-01,16710.8
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-08-01,17300.0
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-09-01,18803.0
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-10-01,18717.6
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-11-01,19567.8
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2021-12-01,20997.5
